level,hanja,mean,pron,hms
4__,孤,외로울,고,외로울 고
4__,庫,곳집,고,곳집 고
3ii,姑,시어미,고,시어미 고
3ii,稿,원고/볏짚,고,원고/볏짚 고
3ii,鼓,북,고,북 고
3__,顧,돌아볼,고,돌아볼 고
3__,枯,마를,고,마를 고
5__,曲,굽을,곡,굽을 곡
4__,穀,곡식,곡,곡식 곡
3ii,哭,울,곡,울 곡
3ii,谷,골,곡,골 곡
4__,困,곤할,곤,곤할 곤
3__,坤,땅,곤,땅 곤
4__,骨,뼈,골,뼈 골
7ii,工,장인,공,장인 공
7ii,空,빌,공,빌 공
6ii,公,공평할,공,공평할 공
6ii,共,한가지,공,한가지 공
6ii,功,공,공,공 공
4__,孔,구멍,공,구멍 공
4__,攻,칠,공,칠 공
3ii,貢,바칠,공,바칠 공
3ii,供,이바지할,공,이바지할 공
3ii,恐,두려울,공,두려울 공
3ii,恭,공손할,공,공손할 공
6ii,果,실과,과,실과 과
6ii,科,과목,과,과목 과
5ii,課,공부할/과정,과,공부할/과정 과
5ii,過,지날,과,지날 과
3ii,誇,자랑할,과,자랑할 과
3ii,寡,적을,과,적을 과
3__,郭,둘레/외성,곽,둘레/외성 곽
5ii,觀,볼,관,볼 관
5ii,關,관계할,관,관계할 관
4ii,官,벼슬,관,벼슬 관
4__,管,대롱/주관할,관,대롱/주관할 관
3ii,寬,너그러울,관,너그러울 관
3ii,貫,꿸,관,꿸 관
3ii,館,집,관,집 관
3ii,慣,익숙할,관,익숙할 관
3ii,冠,갓,관,갓 관
6ii,光,빛,광,빛 광
5ii,廣,넓을,광,넓을 광
4__,鑛,쇳돌,광,쇳돌 광
3ii,狂,미칠,광,미칠 광
3__,掛,걸,괘,걸 괘
3ii,壞,무너질,괴,무너질 괴
3ii,怪,괴이할,괴,괴이할 괴
3__,塊,흙덩이,괴,흙덩이 괴
3__,愧,부끄러울,괴,부끄러울 괴
8__,校,학교,교,학교 교
8__,敎,가르칠,교,가르칠 교
6__,交,사귈,교,사귈 교
5__,橋,다리,교,다리 교
3ii,巧,공교할,교,공교할 교
3ii,較,견줄/비교할,교,견줄/비교할 교
3__,郊,들,교,들 교
3__,矯,바로잡을,교,바로잡을 교
8__,九,아홉,구,아홉 구
7__,口,입,구,입 구
6ii,球,공,구,공 구
6__,區,구분할/지경,구,구분할/지경 구
5ii,具,갖출,구,갖출 구
5ii,舊,예,구,예 구
5__,救,구원할,구,구원할 구
4ii,求,구할,구,구할 구
4ii,句,글귀,구,글귀 구
4ii,究,연구할,구,연구할 구
4__,構,얽을,구,얽을 구
3ii,久,오랠,구,오랠 구
3ii,拘,잡을,구,잡을 구
3ii,丘,언덕,구,언덕 구
3__,俱,함께,구,함께 구
3__,龜,거북,구,거북 구|거북 귀|터질 균
3__,驅,몰,구,몰 구
3__,苟,진실로/구차할,구,진실로/구차할 구
3__,懼,두려워할,구,두려워할 구
3__,狗,개,구,개 구
8__,國,나라,국,나라 국
5ii,局,판,국,판 국
3ii,菊,국화,국,국화 국
8__,軍,군사,군,군사 군
6__,郡,고을,군,고을 군
4__,君,임금,군,임금 군
4__,群,무리,군,무리 군
4__,屈,굽힐,굴,굽힐 굴
4ii,宮,집,궁,집 궁
4__,窮,다할/궁할,궁,다할/궁할 궁
3ii,弓,활,궁,활 궁
4ii,權,권세,권,권세 권
4__,券,문서,권,문서 권
4__,勸,권할,권,권할 권
4__,卷,책,권,책 권
3ii,拳,주먹,권,주먹 권
3__,厥,그,궐,그 궐
3__,軌,바퀴자국,궤,바퀴자국 궤
5__,貴,귀할,귀,귀할 귀
4__,歸,돌아갈,귀,돌아갈 귀
3ii,鬼,귀신,귀,귀신 귀
5__,規,법,규,법 규
3__,糾,얽을,규,얽을 규
3__,叫,부르짖을,규,부르짖을 규
4__,均,고를,균,고를 균
3ii,菌,버섯,균,버섯 균
4ii,極,다할/극진할,극,다할/극진할 극
4__,劇,심할,극,심할 극
3ii,克,이길,극,이길 극
6__,根,뿌리,근,뿌리 근
6__,近,가까울,근,가까울 근
4__,勤,부지런할,근,부지런할 근
4__,筋,힘줄,근,힘줄 근
3__,僅,겨우,근,겨우 근
3__,謹,삼갈,근,삼갈 근
3__,斤,근/날,근,근/날 근
8__,金,쇠,금,쇠 금|성 김
6ii,今,이제,금,이제 금
4ii,禁,금할,금,금할 금
3ii,禽,새,금,새 금
3ii,錦,비단,금,비단 금
3ii,琴,거문고,금,거문고 금
6ii,急,급할,급,급할 급
6__,級,등급,급,등급 급
5__,給,줄,급,줄 급
3ii,及,미칠,급,미칠 급
3__,肯,즐길,긍,즐길 긍
7ii,氣,기운,기,기운 기
7ii,記,기록할,기,기록할 기
7__,旗,기,기,기 기
5ii,基,터,기,터 기
5ii,己,몸,기,몸 기
5__,汽,물끓는김,기,물끓는김 기
5__,期,기약할,기,기약할 기
5__,技,재주,기,재주 기
4ii,器,그릇,기,그릇 기
4ii,起,일어날,기,일어날 기
4__,機,틀,기,틀 기
4__,寄,부칠,기,부칠 기
4__,奇,기특할,기,기특할 기
4__,紀,벼리,기,벼리 기
3ii,騎,말탈,기,말탈 기
3ii,祈,빌,기,빌 기
3ii,畿,경기,기,경기 기
3ii,其,그,기,그 기
3ii,企,꾀할,기,꾀할 기
3__,旣,이미,기,이미 기
3__,忌,꺼릴,기,꺼릴 기
3__,棄,버릴,기,버릴 기
3__,欺,속일,기,속일 기
3__,飢,주릴,기,주릴 기
3__,豈,어찌,기,어찌 기
3__,幾,몇,기,몇 기
3ii,緊,긴할,긴,긴할 긴
5__,吉,길할,길,길할 길
3__,那,어찌,나,어찌 나
3ii,諾,허락할,낙,허락할 낙
4ii,暖,따뜻할,난,따뜻할 난
4ii,難,어려울,난,어려울 난
8__,南,남녘,남,남녘 남
7ii,男,사내,남,사내 남
4__,納,들일,납,들일 납
3ii,娘,계집,낭,계집 낭
7ii,內,안,내,안 내
3ii,耐,견딜,내,견딜 내
3__,奈,어찌,내,어찌 내
3__,乃,이에,내,이에 내
8__,女,계집,녀,계집 녀
8__,年,해,년,해 년
5ii,念,생각,념,생각 념
3ii,寧,편안,녕,편안 녕
4ii,怒,성낼,노,성낼 노
4ii,努,힘쓸,노,힘쓸 노
3ii,奴,종,노,종 노
7ii,農,농사,농,농사 농
3ii,腦,골/뇌수,뇌,골/뇌수 뇌
3__,惱,번뇌할,뇌,번뇌할 뇌
5ii,能,능할,능,능할 능
3ii,泥,진흙,니,진흙 니
6__,多,많을,다,많을 다
3ii,茶,차,다,차 다|차 차
6ii,短,짧을,단,짧을 단
5ii,團,둥글,단,둥글 단
5__,壇,단,단,단 단
4ii,斷,끊을,단,끊을 단
4ii,單,홑,단,홑 단
4ii,檀,박달나무,단,박달나무 단
4ii,端,끝,단,끝 단
4__,段,층계,단,층계 단
3ii,旦,아침,단,아침 단
3ii,但,다만,단,다만 단
3ii,丹,붉을,단,붉을 단
4ii,達,통달할,달,통달할 달
5__,談,말씀,담,말씀 담
4ii,擔,멜,담,멜 담
3ii,淡,맑을,담,맑을 담
7ii,答,대답,답,대답 답
3ii,踏,밟을,답,밟을 답
3__,畓,논,답,논 답
6ii,堂,집,당,집 당
5ii,當,마땅,당,마땅 당
4ii,黨,무리,당,무리 당
3ii,糖,엿,당,엿 당
3ii,唐,당나라/당황할,당,당나라/당황할 당
8__,大,큰,대,큰 대
6ii,代,대신할,대,대신할 대
6ii,對,대할,대,대할 대
6__,待,기다릴,대,기다릴 대
4ii,帶,띠,대,띠 대
4ii,隊,무리,대,무리 대
3ii,臺,대,대,대 대
3ii,貸,빌릴/뀔,대,빌릴/뀔 대
5ii,德,큰,덕,큰 덕
7ii,道,길,도,길 도
6ii,圖,그림,도,그림 도
6__,度,법도,도,법도 도|헤아릴 탁
5ii,到,이를,도,이를 도
5__,都,도읍,도,도읍 도
5__,島,섬,도,섬 도
4ii,導,인도할,도,인도할 도
4__,徒,무리,도,무리 도
4__,盜,도둑,도,도둑 도
4__,逃,도망할,도,도망할 도
3ii,渡,건널,도,건널 도
3ii,桃,복숭아,도,복숭아 도
3ii,倒,넘어질,도,넘어질 도
3ii,陶,질그릇,도,질그릇 도
3ii,途,길,도,길 도
3ii,刀,칼,도,칼 도
3__,跳,뛸,도,뛸 도
3__,挑,돋울,도,돋울 도
3__,塗,칠할,도,칠할 도
3__,稻,벼,도,벼 도
6ii,讀,읽을,독,읽을 독|구절 두
5ii,獨,홀로,독,홀로 독
4ii,毒,독,독,독 독
4ii,督,감독할,독,감독할 독
3__,篤,도타울,독,도타울 독
3__,敦,도타울,돈,도타울 돈
3__,豚,돼지,돈,돼지 돈
3ii,突,갑자기,돌,갑자기 돌
8__,東,동녘,동,동녘 동
7ii,動,움직일,동,움직일 동
7__,同,한가지,동,한가지 동
7__,洞,골,동,골 동|밝을 통
7__,冬,겨울,동,겨울 동
6ii,童,아이,동,아이 동
4ii,銅,구리,동,구리 동
3ii,凍,얼,동,얼 동
6__,頭,머리,두,머리 두
4ii,斗,말,두,말 두
4ii,豆,콩,두,콩 두
3__,屯,진칠,둔,진칠 둔
3__,鈍,둔할,둔,둔할 둔
4ii,得,얻을,득,얻을 득
7__,登,오를,등,오를 등
6ii,等,무리,등,무리 등
4ii,燈,등,등,등 등
3__,騰,오를,등,오를 등
4ii,羅,벌릴,라,벌릴 라
6ii,樂,즐길,락,즐길 락|노래 악|좋아할 요
5__,落,떨어질,락,떨어질 락
3ii,絡,이을/얽을,락,이을/얽을 락
4__,亂,어지러울,란,어지러울 란
4__,卵,알,란,알 란
3ii,欄,난간,란,난간 란
3ii,蘭,난초,란,난초 란
4__,覽,볼,람,볼 람
3__,濫,넘칠,람,넘칠 람
5ii,朗,밝을,랑,밝을 랑
3ii,浪,물결,랑,물결 랑
3ii,廊,사랑채/행랑,랑,사랑채/행랑 랑
